ibge_cod,regiao,uf,nome,porte,snt,media_mortes,pc1,prioridade,media_pop,media_frota,meta_pop,meta_veic,meta,meta_round,var,var_perc
311760,Sudeste,Minas Gerais,Conceição do Pará,Menor porte,Não municipalizado,2,-0.185258711021278,1,5506.666666666667,2861.6666666666665,2.1903132996566037,1.7404746518670569,1.9653939757618302,2,-0.03460602423816983,-0.017303012119084915
315550,Sudeste,Minas Gerais,Rio Paranaíba,Menor porte,Não municipalizado,7.333333333333333,0.265716544217817,1,12313,8244,4.897577661986397,5.0140266849127615,4.955802173449579,5,-2.3775311598837536,-0.3242087945296028
316440,Sudeste,Minas Gerais,São Sebastião da Bela Vista,Menor porte,Não municipalizado,2.333333333333333,0.240024560657991,1,5503.666666666667,2259.3333333333335,2.1891200296991635,1.3741336272981843,1.7816268284986738,2,-0.5517065048346592,-0.2364456449291397
316750,Sudeste,Minas Gerais,Simão Pereira,Menor porte,Não municipalizado,1.666666666666667,0.238601078716206,1,2615,2172.6666666666665,1.0401336462352333,1.321422688511296,1.1807781673732647,1,-0.4858884992934023,-0.2915330995760413
316810,Sudeste,Minas Gerais,Tapira,Menor porte,Não municipalizado,3,0.0813469531005584,1,4772,2236,1.8980947456346207,1.3599422207017144,1.6290184831681676,2,-1.3709815168318324,-0.45699383894394413
320465,Sudeste,Espírito Santo,São Domingos do Norte,Menor porte,Não municipalizado,4.333333333333333,0.124549341692558,1,8638,5227,3.4358219641223497,3.1790778119892042,3.307449888055777,3,-1.025883445277556,-0.23674233352558988
350430,Sudeste,São Paulo,Avaí,Menor porte,Não municipalizado,2,-0.359912504475907,1,5402.666666666667,2074.6666666666665,2.148946607798682,1.2618187808061225,1.7053826943024024,2,-0.2946173056975976,-0.1473086528487988
351610,Sudeste,São Paulo,Florínea,Menor porte,Não municipalizado,1.666666666666667,-0.0329002153925723,1,2676,1462.6666666666667,1.064396802036514,0.8895984592187124,0.9769976306276131,1,-0.6896690360390538,-0.4138014216234322
352020,Sudeste,São Paulo,Igaratá,Menor porte,Municipalizado,4.666666666666667,0.351486413242342,1,9533.333333333334,6163,3.7919467536427884,3.7483559508875968,3.7701513522651924,4,-0.8965153144014746,-0.1921104245146017
353400,Sudeste,São Paulo,Onda Verde,Menor porte,Não municipalizado,2,0.382698520808725,1,4380.666666666667,2234,1.7424393089641093,1.358725814422017,1.550582561693063,2,-0.4494174383069369,-0.22470871915346846
353600,Sudeste,São Paulo,Parapuã,Menor porte,Não municipalizado,6,0.116498136092204,1,10964.333333333334,6453,4.3611365233416866,3.924734861443722,4.1429356923927045,4,-1.8570643076072955,-0.30951071793454926
354105,Sudeste,São Paulo,Pratânia,Menor porte,Não municipalizado,3,-0.24912664399508,1,5260.666666666667,3574,2.0924651631465205,2.1737180218192877,2.133091592482904,2,-0.8669084075170961,-0.2889694691723654
354360,Sudeste,São Paulo,Rifaina,Menor porte,Municipalizado,1.666666666666667,0.341041729825199,1,3629,2431,1.4434588918499662,1.4785418329722129,1.4610003624110894,1,-0.20566630425557753,-0.1233997825533465
411155,Sul,Paraná,Ivaté,Menor porte,Não municipalizado,3.333333333333333,-0.300794951286709,1,8184.333333333333,4835.333333333333,3.255373029447251,2.9408649155484596,3.098118972497855,3,-0.23521436083547798,-0.0705643082506434
411535,Sul,Paraná,Maripá,Menor porte,Não municipalizado,3.666666666666667,0.275252132609157,1,5603,4773.333333333333,2.2286305238455113,2.90315632087784,2.5658934223616754,3,-1.1007732443049916,-0.3002108848104522
411870,Sul,Paraná,Paulo Frontin,Menor porte,Não municipalizado,3,-0.394558969825306,1,7354,4728.666666666667,2.9251024223380133,2.875989913964598,2.9005461681513056,3,-0.09945383184869439,-0.03315127728289813
412065,Sul,Paraná,Quarto Centenário,Menor porte,Não municipalizado,2.333333333333333,0.474637523001735,1,4512.333333333333,2700.3333333333335,1.7948106015406442,1.6423512119714654,1.718580906756055,2,-0.6147524265772781,-0.26346532567597636
412300,Sul,Paraná,Salto do Lontra,Menor porte,Não municipalizado,6,-0.191261951844194,1,14784,9219.333333333334,5.880434350264508,5.607227480645203,5.743830915454856,6,-0.2561690845451441,-0.042694847424190684
420287,Sul,Santa Catarina,Brunópolis,Menor porte,Não municipalizado,1.333333333333333,0.0696174441729257,1,2420.3333333333335,1653.3333333333333,0.9627036845524576,1.0055625245498663,0.9841331045511619,1,-0.34920022878217116,-0.2619001715866284
420945,Sul,Santa Catarina,Lajeado Grande,Menor porte,Não municipalizado,0.666666666666667,-0.470773100434885,1,1427.3333333333333,1054.3333333333333,0.5677313286398048,0.6412488437804893,0.604490086210147,1,-0.06217658045651997,-0.09326487068477991
421230,Sul,Santa Catarina,Paulo Lopes,Menor porte,Não municipalizado,3.333333333333333,-0.364621133502924,1,7493.666666666667,5845.666666666667,2.9806557681343886,3.5553528211756062,3.2680042946549976,3,-0.0653290386783354,-0.01959871160350062
421917,Sul,Santa Catarina,Vargem Bonita,Menor porte,Não municipalizado,2,-0.231536775206948,1,4492.333333333333,3258.6666666666665,1.7868554684910436,1.9819312983869946,1.884393383439019,2,-0.11560661656098103,-0.05780330828049052
430047,Sul,Rio Grande do Sul,Almirante Tamandaré do Sul,Menor porte,Municipalizado,1.333333333333333,0.338820056539757,1,1964,1618.6666666666667,0.781194065470745,0.9844781490351111,0.882836107252928,1,-0.450497226080405,-0.3378729195603038
