codigo,sigla_uf,nome,regiao,porte,media_mortes,municipalizacao,cluster_A,cluster_B,cluster_C,PC1
140028,RR,Iracema,Norte,Menor porte,1,Não municipalizado,3,2,1,-0.271378487415269
140030,RR,Mucajaí,Norte,Menor porte,3.6666666666666665,Não municipalizado,1,2,1,-0.631042565574085
140045,RR,Pacaraima,Norte,Menor porte,3,Não municipalizado,2,2,1,-0.967544667368834
140050,RR,São João da Baliza,Norte,Menor porte,1,Não municipalizado,3,1,1,0.63321074642629
140060,RR,São Luiz,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,3,1,-2.29265206243911
150013,PA,Abel Figueiredo,Norte,Menor porte,3.6666666666666665,Não municipalizado,2,1,1,-4.11887648460456
150100,PA,Aveiro,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,1,1,-1.29016405755092
150145,PA,Belterra,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,0.318612440246032
150157,PA,Bom Jesus do Tocantins,Norte,Menor porte,2.6666666666666665,Não municipalizado,1,1,1,-0.377863730281725
150160,PA,Bonito,Norte,Menor porte,1.6666666666666667,Não municipalizado,3,1,1,0.044274185950897
150172,PA,Brasil Novo,Norte,Menor porte,4,Não municipalizado,1,1,1,-1.24366261242318
150175,PA,Brejo Grande do Araguaia,Norte,Menor porte,1,Não municipalizado,1,1,1,0.394611906753801
150260,PA,Colares,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,0.867040423127453
150276,PA,Cumaru do Norte,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,-0.103475278290481
150277,PA,Curionópolis,Norte,Menor porte,5,Municipalizado,1,1,2,-1.0932665676108
150285,PA,Curuá,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-1.68777409515734
150497,PA,Nova Ipixuna,Norte,Menor porte,3.3333333333333335,Não municipalizado,1,1,1,-0.6375176384386
150500,PA,Nova Timboteua,Norte,Menor porte,4,Não municipalizado,2,1,1,-1.59404460083136
150540,PA,Ourém,Norte,Menor porte,1,Não municipalizado,3,1,1,1.24365158301348
150549,PA,Palestina do Pará,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,0.626830553806663
