ibge_cod,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes
110003,Norte,Rondônia,Cabixi,Menor porte,Não municipalizado,0.34977213829354115,-0.3300625860558311,3.129278257441505,-0.3907817117824211,0.9138395810968992,1.7735778654561054,0.7047709508488191,0.08035174173470962,1.5334818873382863,1.2182246001024246,0.09044947937381877,-0.11842579589158729,1.3333333333333333
110004,Norte,Rondônia,Cacoal,Médio porte,Municipalizado,3.5301675830890815,0.40850972210770287,0.4856653122012121,0.9842478005579023,1.0161751655724525,1.2791661700763353,0.8983719938762419,1.3776529879293877,3.8077353138902006,1.716242393221871,0.06492166565938248,0.7858888418724567,65.33333333333333
110090,Norte,Rondônia,Castanheiras,Menor porte,Não municipalizado,0.12337546411276158,-0.1192710264499735,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,0.8929203509645957,0.749648647699203,0.4018219374328932,3.2625526499984234,0.14176229309303012,0.39406746212137306,-0.012035838507581942,0.6666666666666666
110147,Norte,Rondônia,Primavera de Rondônia,Menor porte,Não municipalizado,-0.472815144460263,-0.5703375649019577,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,0.42643093183963415,0.49697441372089,-0.835802532722438,3.1888160382934525,0.8505462637478347,-0.09186893723527087,-0.2381144979485933,0.3333333333333333
130100,Norte,Amazonas,Carauari,Médio porte,Não municipalizado,-0.9263429676365859,-0.16601953380950923,-0.7101010053641249,-0.3907817117824211,3.021037498373868,-2.1007548647888865,2.702457120304441,-0.0021754147408746876,-0.5036352521000309,-1.493976238848873,-0.49628313295616705,-1.4615990078646532,1.3333333333333333
130115,Norte,Amazonas,Careiro da Várzea,Médio porte,Não municipalizado,-1.0129087466601645,1.955983871561842,4.409071345043381,-0.3907817117824211,-1.19335833618007,-2.6615242329550184,-0.35774622251179417,-0.7673188341210176,-0.39500619285677374,-1.8463303451874498,-0.5609338992272596,-1.2089228590776422,1
130180,Norte,Amazonas,Ipixuna,Médio porte,Não municipalizado,-1.007457182933124,36.47759832757905,1.849485169839628,-0.3907817117824211,0.2114402753379095,-1.854401470536075,-0.7925551304772916,-0.38466200552155116,-0.6829408522338362,-1.9117393377718823,-0.7348595265884912,-2.365913645628699,1
130230,Norte,Amazonas,Jutaí,Menor porte,Não municipalizado,-1.0693711532205727,-0.18552277722355676,1.849485169839628,-0.3907817117824211,-1.19335833618007,-1.2728921836567983,2.7672927987935774,-0.1512269348708347,3.378790048280653,-1.7012574277535006,-0.3197500217962,-1.9004575820736753,0.3333333333333333
130350,Norte,Amazonas,Pauini,Menor porte,Não municipalizado,-1.0047964058174028,3.373308680541275,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,-1.8771705378439767,2.177586751263086,-0.13244667339008517,0.2134846607139114,-1.8637300855475727,-0.6253045755213208,-2.166432475533689,0.6666666666666666
130420,Norte,Amazonas,Tefé,Médio porte,Municipalizado,-0.9422825176347421,-0.5186010203255323,3.129278257441505,-0.3907817117824211,0.2114402753379095,-1.7531825594806931,2.5385700318615414,-0.0730834101507316,0.9579640998939778,-1.003746094542627,-0.28960286509474775,-0.26471198729459466,2.6666666666666665
140005,Norte,Roraima,Alto Alegre,Menor porte,Não municipalizado,0.2529515984040197,1.3469952366291824,-0.07020446156318666,-0.3907817117824211,1.9674385397353837,1.4503648825458468,0.9363556945582459,0.05697465101528583,4.403266931096492,-1.2770018037153115,-0.16052279948297463,-1.554690220575658,3.6666666666666665
140015,Norte,Roraima,Bonfim,Menor porte,Não municipalizado,1.2799516576158987,5.48213882104953,1.3619449459912942,1.4391989170624049,-0.3237211004784636,1.76335600017924,0.424652623988971,-0.24700197648225736,1.7672643932569048,-1.5275061823207912,0.08785227021102389,-0.43759566804360334,5
140017,Norte,Roraima,Cantá,Menor porte,Não municipalizado,0.36579209140778624,3.128906094523159,0.22841392554391787,1.3883661218167154,-0.3973057896532149,1.1952105415667553,0.461296270360317,-0.835802532722438,-0.26932906195800393,-1.5464513160328022,-0.3513153386412296,-0.530686880754608,4.666666666666667
140040,Norte,Roraima,Normandia,Menor porte,Não municipalizado,0.07325182152496144,3.5542435221828974,-0.7101010053641249,-0.3907817117824211,3.021037498373868,0.5698353676593297,1.182550220722312,0.2632860037288701,1.334285887403666,-1.6347876392853373,-0.3545448071275755,-0.8631554975796247,2.3333333333333335
140070,Norte,Roraima,Uiramutã,Menor porte,Não municipalizado,-0.8305588895932923,12.961195089748243,1.849485169839628,-0.3907817117824211,0.2114402753379095,0.850887697990905,0.35930072646664546,-0.835802532722438,3.224084810622656,-1.8899727840295824,-0.5185531530920424,-2.738278496472717,0.6666666666666666
150140,Norte,Pará,Belém,Maior porte,Municipalizado,-0.8259831728892271,-0.5511122769720301,3.160633600658056,-0.10721927176584695,-0.41843966087742684,-1.2798117824172055,-0.3320784956271645,0.6693249387877327,0.18091342815909753,-0.5212841848491557,-0.11779057040093555,1.1582536927164755,94.33333333333333
150172,Norte,Pará,Brasil Novo,Menor porte,Não municipalizado,0.01733324298838746,-0.1636056785957073,-0.7101010053641249,-0.3907817117824211,3.021037498373868,-1.7305376790290197,1.763791437584437,0.32736221253820175,0.7327959167824127,-0.10972782777208653,-0.23878845375449864,-0.610479348792612,3
150215,Norte,Pará,Canaã dos Carajás,Médio porte,Municipalizado,-0.04717996441801923,-0.36321005784090515,-0.39015273346365575,-0.3907817117824211,0.5877256177087968,-2.058516208679478,0.9894836355643574,0.8689918702662238,3.789789010965984,0.61896238904849,9.947091808688839,0.18744533158742807,7
